"Région","District","Catégorie","Sous-catégorie","Désignation","Valeur"
"KABADOUGOU","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",29
"FOLON","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",56
"PORO","District du Poro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",239
"BAGOUE","District du Bagoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",95
"TCHOLOGO","District du Tchologo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",70
"BOUNKANI","District du Bounkani","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",344
"GONTOUGO","District du Gontougo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",253
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",94
"NAWA","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",178
"GBÔKLE","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",48
"SAN-PEDRO","District de San-Pedro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",95
"INDENIE-DJUABLIN","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",122
"SUD-COMOE","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",75
"GÔH","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",181
"LÔH-DJIBOUA","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",117
"BELIER","District du Bélier","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",166
"IFFOU","District de l'Iffou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",150
"MORONOU","District du Moronou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",59
"N'ZI","District du N'Zi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",97
"GRANDS-PONTS","District des Grands-Ponts","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",21
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",102
"LA ME","District de La Mé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",41
"TONKPI","District de Tonkpi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",126
"CAVALLY","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",45
"GUEMON","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",96
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",156
"MARAHOUE","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",183
"HAMBOL","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",114
"GBEKE","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",155
"BERE","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",205
"BAFING","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",309
"WORODOUGOU","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",173
"Autres","Autres","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",340
"KABADOUGOU","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",410
"FOLON","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",244
"PORO","District du Poro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",1523
"BAGOUE","District du Bagoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",567
"TCHOLOGO","District du Tchologo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",950
"BOUNKANI","District du Bounkani","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",939
"GONTOUGO","District du Gontougo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",1203
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",279
"NAWA","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",628
"GBÔKLE","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",158
"SAN-PEDRO","District de San-Pedro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",186
"INDENIE-DJUABLIN","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",401
"SUD-COMOE","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",226
"GÔH","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",623
"LÔH-DJIBOUA","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",416
"BELIER","District du Bélier","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",491
"IFFOU","District de l'Iffou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",564
"MORONOU","District du Moronou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",149
"N'ZI","District du N'Zi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",355
"GRANDS-PONTS","District des Grands-Ponts","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",97
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",450
"LA ME","District de La Mé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",130
"TONKPI","District de Tonkpi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",719
"CAVALLY","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",171
"GUEMON","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",435
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",741
"MARAHOUE","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",701
"HAMBOL","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",440
"GBEKE","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",695
"BERE","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",505
"BAFING","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",638
"WORODOUGOU","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",410
"Autres","Autres","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",382
"KABADOUGOU","District du Denguélé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",6
"FOLON","District du Denguélé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",7
"PORO","District du Poro","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",78
"BAGOUE","District du Bagoué","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",3
"TCHOLOGO","District du Tchologo","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",19
"BOUNKANI","District du Bounkani","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",109
"GONTOUGO","District du Gontougo","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",29
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",2
"NAWA","District des Lagunes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",9
"GBÔKLE","District des Lagunes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",14
"SAN-PEDRO","District de San-Pedro","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",24
"INDENIE-DJUABLIN","District du Sud-Comoé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",1
"SUD-COMOE","District du Sud-Comoé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",1
"GÔH","District du Gôh-Djiboua","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",
"LÔH-DJIBOUA","District du Gôh-Djiboua","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",11
"BELIER","District du Bélier","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",8
"IFFOU","District de l'Iffou","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",38
"MORONOU","District du Moronou","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",1
"N'ZI","District du N'Zi","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",4
"GRANDS-PONTS","District des Grands-Ponts","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",8
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",2
"LA ME","District de La Mé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",8
"TONKPI","District de Tonkpi","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",40
"CAVALLY","District des Montagnes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",6
"GUEMON","District des Montagnes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",12
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",21
"MARAHOUE","District du Sassandra-Marahoué","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",17
"HAMBOL","District de la Vallée du Bandama","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",20
"GBEKE","District de la Vallée du Bandama","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",60
"BERE","District du Woroba","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",18
"BAFING","District du Woroba","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",40
"WORODOUGOU","District du Woroba","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",8
"Autres","Autres","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",1
"KABADOUGOU","District du Denguélé","Protection sociale","Filets sociaux","Nombre de filets sociaux",1125
"FOLON","District du Denguélé","Protection sociale","Filets sociaux","Nombre de filets sociaux",386
"PORO","District du Poro","Protection sociale","Filets sociaux","Nombre de filets sociaux",3806
"BAGOUE","District du Bagoué","Protection sociale","Filets sociaux","Nombre de filets sociaux",1588
"TCHOLOGO","District du Tchologo","Protection sociale","Filets sociaux","Nombre de filets sociaux",8555
"BOUNKANI","District du Bounkani","Protection sociale","Filets sociaux","Nombre de filets sociaux",1088
"GONTOUGO","District du Gontougo","Protection sociale","Filets sociaux","Nombre de filets sociaux",6073
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Protection sociale","Filets sociaux","Nombre de filets sociaux",2295
"NAWA","District des Lagunes","Protection sociale","Filets sociaux","Nombre de filets sociaux",12720
"GBÔKLE","District des Lagunes","Protection sociale","Filets sociaux","Nombre de filets sociaux",1645
"SAN-PEDRO","District de San-Pedro","Protection sociale","Filets sociaux","Nombre de filets sociaux",10703
"INDENIE-DJUABLIN","District du Sud-Comoé","Protection sociale","Filets sociaux","Nombre de filets sociaux",3590
"SUD-COMOE","District du Sud-Comoé","Protection sociale","Filets sociaux","Nombre de filets sociaux",2991
"GÔH","District du Gôh-Djiboua","Protection sociale","Filets sociaux","Nombre de filets sociaux",14529
"LÔH-DJIBOUA","District du Gôh-Djiboua","Protection sociale","Filets sociaux","Nombre de filets sociaux",7276
"BELIER","District du Bélier","Protection sociale","Filets sociaux","Nombre de filets sociaux",1173
"IFFOU","District de l'Iffou","Protection sociale","Filets sociaux","Nombre de filets sociaux",1043
"MORONOU","District du Moronou","Protection sociale","Filets sociaux","Nombre de filets sociaux",693
"N'ZI","District du N'Zi","Protection sociale","Filets sociaux","Nombre de filets sociaux",4343
"GRANDS-PONTS","District des Grands-Ponts","Protection sociale","Filets sociaux","Nombre de filets sociaux",820
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Protection sociale","Filets sociaux","Nombre de filets sociaux",11715
"LA ME","District de La Mé","Protection sociale","Filets sociaux","Nombre de filets sociaux",9609
"TONKPI","District de Tonkpi","Protection sociale","Filets sociaux","Nombre de filets sociaux",18256
"CAVALLY","District des Montagnes","Protection sociale","Filets sociaux","Nombre de filets sociaux",10840
"GUEMON","District des Montagnes","Protection sociale","Filets sociaux","Nombre de filets sociaux",12173
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Protection sociale","Filets sociaux","Nombre de filets sociaux",19297
"MARAHOUE","District du Sassandra-Marahoué","Protection sociale","Filets sociaux","Nombre de filets sociaux",2419
"HAMBOL","District de la Vallée du Bandama","Protection sociale","Filets sociaux","Nombre de filets sociaux",6950
"GBEKE","District de la Vallée du Bandama","Protection sociale","Filets sociaux","Nombre de filets sociaux",4415
"BERE","District du Woroba","Protection sociale","Filets sociaux","Nombre de filets sociaux",1625
"BAFING","District du Woroba","Protection sociale","Filets sociaux","Nombre de filets sociaux",4049
"WORODOUGOU","District du Woroba","Protection sociale","Filets sociaux","Nombre de filets sociaux",1238
"Autres","Autres","Protection sociale","Filets sociaux","Nombre de filets sociaux",10972
"KABADOUGOU","District du Denguélé","Santé","Accouchement","Nombre d'accouchements enregistrés",10217
"FOLON","District du Denguélé","Santé","Accouchement","Nombre d'accouchements enregistrés",4600
"PORO","District du Poro","Santé","Accouchement","Nombre d'accouchements enregistrés",33125
"BAGOUE","District du Bagoué","Santé","Accouchement","Nombre d'accouchements enregistrés",18839
"TCHOLOGO","District du Tchologo","Santé","Accouchement","Nombre d'accouchements enregistrés",19294
"BOUNKANI","District du Bounkani","Santé","Accouchement","Nombre d'accouchements enregistrés",11564
"GONTOUGO","District du Gontougo","Santé","Accouchement","Nombre d'accouchements enregistrés",21961
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Santé","Accouchement","Nombre d'accouchements enregistrés",13333
"NAWA","District des Lagunes","Santé","Accouchement","Nombre d'accouchements enregistrés",36890
"GBÔKLE","District des Lagunes","Santé","Accouchement","Nombre d'accouchements enregistrés",13017
"SAN-PEDRO","District de San-Pedro","Santé","Accouchement","Nombre d'accouchements enregistrés",25421
"INDENIE-DJUABLIN","District du Sud-Comoé","Santé","Accouchement","Nombre d'accouchements enregistrés",21760
"SUD-COMOE","District du Sud-Comoé","Santé","Accouchement","Nombre d'accouchements enregistrés",24076
"GÔH","District du Gôh-Djiboua","Santé","Accouchement","Nombre d'accouchements enregistrés",30476
"LÔH-DJIBOUA","District du Gôh-Djiboua","Santé","Accouchement","Nombre d'accouchements enregistrés",30390
"BELIER","District du Bélier","Santé","Accouchement","Nombre d'accouchements enregistrés",12332
"IFFOU","District de l'Iffou","Santé","Accouchement","Nombre d'accouchements enregistrés",11027
"MORONOU","District du Moronou","Santé","Accouchement","Nombre d'accouchements enregistrés",11884
"N'ZI","District du N'Zi","Santé","Accouchement","Nombre d'accouchements enregistrés",6680
"GRANDS-PONTS","District des Grands-Ponts","Santé","Accouchement","Nombre d'accouchements enregistrés",11936
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Santé","Accouchement","Nombre d'accouchements enregistrés",23443
"LA ME","District de La Mé","Santé","Accouchement","Nombre d'accouchements enregistrés",19523
"TONKPI","District de Tonkpi","Santé","Accouchement","Nombre d'accouchements enregistrés",33275
"CAVALLY","District des Montagnes","Santé","Accouchement","Nombre d'accouchements enregistrés",20904
"GUEMON","District des Montagnes","Santé","Accouchement","Nombre d'accouchements enregistrés",20837
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Santé","Accouchement","Nombre d'accouchements enregistrés",48978
"MARAHOUE","District du Sassandra-Marahoué","Santé","Accouchement","Nombre d'accouchements enregistrés",28998
"HAMBOL","District de la Vallée du Bandama","Santé","Accouchement","Nombre d'accouchements enregistrés",18024
"GBEKE","District de la Vallée du Bandama","Santé","Accouchement","Nombre d'accouchements enregistrés",26415
"BERE","District du Woroba","Santé","Accouchement","Nombre d'accouchements enregistrés",12661
"BAFING","District du Woroba","Santé","Accouchement","Nombre d'accouchements enregistrés",6853
"WORODOUGOU","District du Woroba","Santé","Accouchement","Nombre d'accouchements enregistrés",15196
"Autres","Autres","Santé","Accouchement","Nombre d'accouchements enregistrés",128379
"KABADOUGOU","District du Denguélé","Santé","Accouchement","Nombre d'interventions chirurgicales",736
"FOLON","District du Denguélé","Santé","Accouchement","Nombre d'interventions chirurgicales",0
"PORO","District du Poro","Santé","Accouchement","Nombre d'interventions chirurgicales",1685
"BAGOUE","District du Bagoué","Santé","Accouchement","Nombre d'interventions chirurgicales",1097
"TCHOLOGO","District du Tchologo","Santé","Accouchement","Nombre d'interventions chirurgicales",1047
"BOUNKANI","District du Bounkani","Santé","Accouchement","Nombre d'interventions chirurgicales",265
"GONTOUGO","District du Gontougo","Santé","Accouchement","Nombre d'interventions chirurgicales",2135
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",2140
"NAWA","District des Lagunes","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1632
"GBÔKLE","District des Lagunes","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",770
"SAN-PEDRO","District de San-Pedro","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1427
"INDENIE-DJUABLIN","District du Sud-Comoé","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1801
"SUD-COMOE","District du Sud-Comoé","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1890
"GÔH","District du Gôh-Djiboua","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1962
"LÔH-DJIBOUA","District du Gôh-Djiboua","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1432
"BELIER","District du Bélier","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",622
"IFFOU","District de l'Iffou","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",653
"MORONOU","District du Moronou","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",394
"N'ZI","District du N'Zi","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",661
"GRANDS-PONTS","District des Grands-Ponts","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",768
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1940
"LA ME","District de La Mé","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1798
"TONKPI","District de Tonkpi","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1689
"CAVALLY","District des Montagnes","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",785
"GUEMON","District des Montagnes","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",611
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",2101
"MARAHOUE","District du Sassandra-Marahoué","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",847
"HAMBOL","District de la Vallée du Bandama","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",1149
"GBEKE","District de la Vallée du Bandama","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",267
"BERE","District du Woroba","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",307
"BAFING","District du Woroba","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",211
"WORODOUGOU","District du Woroba","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",859
"Autres","Autres","Santé","Accouchement","Nombre d'interventions chirurgicales (césarienne)",8974
"KABADOUGOU","District du Denguélé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",94080
"FOLON","District du Denguélé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",43817
"PORO","District du Poro","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",273801
"BAGOUE","District du Bagoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",142217
"TCHOLOGO","District du Tchologo","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",201875
